date,county,state,fips,cumulative_cases,cumulative_deaths
3/4/2020,Bergen,New Jersey,34003,1,0
3/5/2020,Bergen,New Jersey,34003,2,0
3/6/2020,Bergen,New Jersey,34003,3,0
3/6/2020,Camden,New Jersey,34007,1,0
3/7/2020,Bergen,New Jersey,34003,3,0
3/7/2020,Camden,New Jersey,34007,1,0
3/8/2020,Bergen,New Jersey,34003,4,0
3/8/2020,Camden,New Jersey,34007,1,0
3/8/2020,Passaic,New Jersey,34031,1,0
3/9/2020,Bergen,New Jersey,34003,5,0
3/9/2020,Camden,New Jersey,34007,1,0
3/9/2020,Hudson,New Jersey,34017,1,0
3/9/2020,Monmouth,New Jersey,34025,2,0
3/9/2020,Passaic,New Jersey,34031,1,0
3/9/2020,Union,New Jersey,34039,1,0
3/10/2020,Bergen,New Jersey,34003,7,1
3/10/2020,Burlington,New Jersey,34005,2,0
3/10/2020,Camden,New Jersey,34007,1,0
3/10/2020,Hudson,New Jersey,34017,1,0
3/10/2020,Monmouth,New Jersey,34025,2,0
3/10/2020,Passaic,New Jersey,34031,1,0
3/10/2020,Union,New Jersey,34039,1,0
3/11/2020,Bergen,New Jersey,34003,11,1
3/11/2020,Burlington,New Jersey,34005,2,0
3/11/2020,Camden,New Jersey,34007,1,0
3/11/2020,Hudson,New Jersey,34017,1,0
3/11/2020,Middlesex,New Jersey,34023,2,0
3/11/2020,Monmouth,New Jersey,34025,4,0
3/11/2020,Passaic,New Jersey,34031,1,0
3/11/2020,Union,New Jersey,34039,1,0
3/12/2020,Bergen,New Jersey,34003,13,1
3/12/2020,Burlington,New Jersey,34005,2,0
3/12/2020,Camden,New Jersey,34007,1,0
3/12/2020,Essex,New Jersey,34013,1,0
3/12/2020,Hudson,New Jersey,34017,1,0
3/12/2020,Middlesex,New Jersey,34023,2,0
3/12/2020,Monmouth,New Jersey,34025,5,0
3/12/2020,Morris,New Jersey,34027,1,0
3/12/2020,Passaic,New Jersey,34031,1,0
3/12/2020,Union,New Jersey,34039,1,0
3/13/2020,Bergen,New Jersey,34003,17,1
3/13/2020,Burlington,New Jersey,34005,3,0
3/13/2020,Camden,New Jersey,34007,2,0
3/13/2020,Essex,New Jersey,34013,6,0
3/13/2020,Hudson,New Jersey,34017,3,0
3/13/2020,Middlesex,New Jersey,34023,4,0
3/13/2020,Monmouth,New Jersey,34025,7,0
3/13/2020,Morris,New Jersey,34027,3,0
3/13/2020,Ocean,New Jersey,34029,1,0
3/13/2020,Passaic,New Jersey,34031,2,0
3/13/2020,Union,New Jersey,34039,1,0
3/14/2020,Bergen,New Jersey,34003,31,1
3/14/2020,Burlington,New Jersey,34005,3,0
3/14/2020,Camden,New Jersey,34007,2,0
3/14/2020,Essex,New Jersey,34013,7,0
3/14/2020,Hudson,New Jersey,34017,5,0
3/14/2020,Mercer,New Jersey,34021,1,0
3/14/2020,Middlesex,New Jersey,34023,8,0
3/14/2020,Monmouth,New Jersey,34025,8,1
3/14/2020,Morris,New Jersey,34027,5,0
3/14/2020,Ocean,New Jersey,34029,1,0
3/14/2020,Passaic,New Jersey,34031,2,0
3/14/2020,Union,New Jersey,34039,1,0
3/15/2020,Bergen,New Jersey,34003,32,1
3/15/2020,Burlington,New Jersey,34005,4,0
3/15/2020,Camden,New Jersey,34007,2,0
3/15/2020,Essex,New Jersey,34013,11,0
3/15/2020,Hudson,New Jersey,34017,10,0
3/15/2020,Mercer,New Jersey,34021,1,0
3/15/2020,Middlesex,New Jersey,34023,9,0
3/15/2020,Monmouth,New Jersey,34025,11,1
3/15/2020,Morris,New Jersey,34027,6,0
3/15/2020,Ocean,New Jersey,34029,2,0
3/15/2020,Passaic,New Jersey,34031,5,0
3/15/2020,Union,New Jersey,34039,4,0
3/16/2020,Bergen,New Jersey,34003,61,2
3/16/2020,Burlington,New Jersey,34005,5,0
3/16/2020,Camden,New Jersey,34007,3,0
3/16/2020,Essex,New Jersey,34013,20,0
3/16/2020,Hudson,New Jersey,34017,19,0
3/16/2020,Hunterdon,New Jersey,34019,1,0
3/16/2020,Mercer,New Jersey,34021,6,0
3/16/2020,Middlesex,New Jersey,34023,15,0
3/16/2020,Monmouth,New Jersey,34025,14,1
3/16/2020,Morris,New Jersey,34027,8,0
3/16/2020,Ocean,New Jersey,34029,3,0
3/16/2020,Passaic,New Jersey,34031,8,0
3/16/2020,Somerset,New Jersey,34035,4,0
3/16/2020,Union,New Jersey,34039,8,0
3/17/2020,Bergen,New Jersey,34003,84,2
3/17/2020,Burlington,New Jersey,34005,5,0
3/17/2020,Camden,New Jersey,34007,3,0
3/17/2020,Essex,New Jersey,34013,32,0
3/17/2020,Gloucester,New Jersey,34015,2,0
3/17/2020,Hudson,New Jersey,34017,24,0
3/17/2020,Hunterdon,New Jersey,34019,4,0
3/17/2020,Mercer,New Jersey,34021,9,0
3/17/2020,Middlesex,New Jersey,34023,20,0
3/17/2020,Monmouth,New Jersey,34025,22,1
3/17/2020,Morris,New Jersey,34027,19,0
3/17/2020,Ocean,New Jersey,34029,4,0
3/17/2020,Passaic,New Jersey,34031,10,0
3/17/2020,Somerset,New Jersey,34035,6,0
3/17/2020,Union,New Jersey,34039,22,0
3/17/2020,Warren,New Jersey,34041,1,0
3/18/2020,Atlantic,New Jersey,34001,3,0
3/18/2020,Bergen,New Jersey,34003,133,4
3/18/2020,Burlington,New Jersey,34005,10,0
3/18/2020,Camden,New Jersey,34007,10,0
3/18/2020,Essex,New Jersey,34013,45,0
3/18/2020,Gloucester,New Jersey,34015,2,0
3/18/2020,Hudson,New Jersey,34017,34,0
3/18/2020,Hunterdon,New Jersey,34019,6,0
3/18/2020,Mercer,New Jersey,34021,15,0
3/18/2020,Middlesex,New Jersey,34023,40,0
3/18/2020,Monmouth,New Jersey,34025,32,1
3/18/2020,Morris,New Jersey,34027,19,0
3/18/2020,Ocean,New Jersey,34029,16,0
3/18/2020,Passaic,New Jersey,34031,18,0
3/18/2020,Somerset,New Jersey,34035,15,0
3/18/2020,Union,New Jersey,34039,26,0
3/18/2020,Warren,New Jersey,34041,2,0
3/19/2020,Atlantic,New Jersey,34001,3,0
3/19/2020,Bergen,New Jersey,34003,297,6
3/19/2020,Burlington,New Jersey,34005,14,0
3/19/2020,Camden,New Jersey,34007,11,0
3/19/2020,Cape May,New Jersey,34009,1,0
3/19/2020,Essex,New Jersey,34013,63,2
3/19/2020,Gloucester,New Jersey,34015,3,0
3/19/2020,Hudson,New Jersey,34017,55,0
3/19/2020,Hunterdon,New Jersey,34019,8,0
3/19/2020,Mercer,New Jersey,34021,20,0
3/19/2020,Middlesex,New Jersey,34023,64,0
3/19/2020,Monmouth,New Jersey,34025,43,1
3/19/2020,Morris,New Jersey,34027,26,0
3/19/2020,Ocean,New Jersey,34029,33,0
3/19/2020,Passaic,New Jersey,34031,38,0
3/19/2020,Somerset,New Jersey,34035,20,0
3/19/2020,Sussex,New Jersey,34037,2,0
3/19/2020,Union,New Jersey,34039,29,0
3/19/2020,Warren,New Jersey,34041,4,0
3/20/2020,Atlantic,New Jersey,34001,3,0
3/20/2020,Bergen,New Jersey,34003,342,7
3/20/2020,Burlington,New Jersey,34005,17,0
3/20/2020,Camden,New Jersey,34007,15,0
3/20/2020,Cape May,New Jersey,34009,1,0
3/20/2020,Cumberland,New Jersey,34011,1,0
3/20/2020,Essex,New Jersey,34013,73,3
