County,population_2020
,
".Atlantic County, New Jersey","274,536"
".Bergen County, New Jersey","955,743"
".Burlington County, New Jersey","461,869"
".Camden County, New Jersey","523,498"
".Cape May County, New Jersey","95,262"
".Cumberland County, New Jersey","154,160"
".Essex County, New Jersey","862,768"
".Gloucester County, New Jersey","302,273"
".Hudson County, New Jersey","724,858"
".Hunterdon County, New Jersey","128,950"
".Mercer County, New Jersey","387,328"
".Middlesex County, New Jersey","863,202"
".Monmouth County, New Jersey","643,612"
".Morris County, New Jersey","509,288"
".Ocean County, New Jersey","637,235"
".Passaic County, New Jersey","525,054"
".Salem County, New Jersey","64,830"
".Somerset County, New Jersey","345,353"
".Sussex County, New Jersey","144,220"
".Union County, New Jersey","575,363"
".Warren County, New Jersey","109,637"
